ratio,arm,detail,rep,touches,bytes_touched,wall_ns,absent_handled,evictions,infeasible,prefetches,pager_bytes_fetched,io_read_bytes_delta,dedup_resident,dedup_fetching,prefetch_declined,censored,exit_code
0.5,OPT,belady_over_D_trace,1,,,,48,,,,,6442450944,,,,0,
0.5,OPT,belady_over_D_trace,2,,,,48,,,,,6442450944,,,,0,
0.5,OPT,belady_over_D_trace,3,,,,48,,,,,6442450944,,,,0,
0.75,A,mmap_normal_off,1,80,10737418240,2980558863,n/a,n/a,n/a,n/a,,10762620928,,,,0,0
0.75,A,mmap_normal_off,2,80,10737418240,2668948724,n/a,n/a,n/a,n/a,,10775134208,,,,0,0
0.75,A,mmap_normal_off,3,80,10737418240,2535812032,n/a,n/a,n/a,n/a,,10762620928,,,,0,0
0.75,A,mmap_random_off,1,80,10737418240,173336166313,n/a,n/a,n/a,n/a,,10733543424,,,,0,0
0.75,A,mmap_random_off,2,,,,,,,,,,,,,0,124
0.75,A,mmap_random_off,3,,,,,,,,,,,,,0,124
0.75,A,mmap_sequential_off,1,80,10737418240,2933508970,n/a,n/a,n/a,n/a,,10737455104,,,,0,0
0.75,A,mmap_sequential_off,2,80,10737418240,2638621370,n/a,n/a,n/a,n/a,,10737455104,,,,0,0
0.75,A,mmap_sequential_off,3,80,10737418240,2735440745,n/a,n/a,n/a,n/a,,10737455104,,,,0,0
0.75,B,mmap_normal_on,1,80,10737418240,2328829121,n/a,n/a,n/a,n/a,,10192158720,,,,0,0
0.75,B,mmap_normal_on,2,80,10737418240,2355361659,n/a,n/a,n/a,n/a,,10192158720,,,,0,0
0.75,B,mmap_normal_on,3,80,10737418240,2305699484,n/a,n/a,n/a,n/a,,10192158720,,,,0,0
0.75,C,lru_off,1,80,10737418240,5840901790,80,68,0,0,10737418240,10737418240,0,0,0,0,0
0.75,C,lru_off,2,80,10737418240,5463726588,80,68,0,0,10737418240,10737418240,0,0,0,0,0
0.75,C,lru_off,3,80,10737418240,5221193461,80,68,0,0,10737418240,10737418240,0,0,0,0,0
0.75,D,layer_order_off,1,80,10737418240,2653993703,41,29,0,0,5502926848,5502926848,0,0,0,0,0
0.75,D,layer_order_off,2,80,10737418240,2851897611,41,29,0,0,5502926848,5502926848,0,0,0,0,0
0.75,D,layer_order_off,3,80,10737418240,2645712651,41,29,0,0,5502926848,5502926848,0,0,0,0,0
0.75,OPT,belady_over_D_trace,1,,,,32,,,,,4294967296,,,,0,
0.75,OPT,belady_over_D_trace,2,,,,32,,,,,4294967296,,,,0,
0.75,OPT,belady_over_D_trace,3,,,,32,,,,,4294967296,,,,0,
0.75,E,layer_order_on,1,80,10737418240,3042601386,28,30,0,14,5637144576,5637144576,10,0,0,0,0
0.75,E,layer_order_on,2,80,10737418240,2551527028,27,29,0,14,5502926848,5502926848,10,0,0,0,0
0.75,E,layer_order_on,3,80,10737418240,2407255670,27,29,0,14,5502926848,5502926848,12,0,0,0,0
