chunk_size,ratio,arm,policy,compute,rep,touches,bytes_touched,wall_ns,absent_handled,evictions,infeasible,prefetches,pager_bytes_fetched,io_read_bytes_delta,dedup_resident,dedup_fetching,pin_broken,rc
134217728,0.25,E,layer_order_learned,0,2,80,10737418240,4107396978,53,88,0,39,12348030976,12348030976,50,138,5,0
134217728,0.25,E,layer_order_learned,0,3,80,10737418240,3955945962,47,82,2,39,11542724608,11542724608,55,106,9,0
134217728,0.25,E,layer_order_declared,0,1,80,10737418240,4731623262,40,77,0,41,10871635968,10871635968,77,75,0,0
134217728,0.25,E,layer_order_declared,0,2,80,10737418240,4721393079,40,77,0,41,10871635968,10871635968,78,62,0,0
134217728,0.25,E,layer_order_declared,0,3,80,10737418240,4731841227,40,77,0,41,10871635968,10871635968,78,54,0,0
134217728,0.25,C,lru,400000,1,80,10737418240,5687245273,80,76,0,0,10737418240,10737418240,79,67,0,0
134217728,0.25,C,lru,400000,2,80,10737418240,5719977097,80,76,0,0,10737418240,10737418240,79,74,0,0
134217728,0.25,C,lru,400000,3,80,10737418240,5675211083,80,76,0,0,10737418240,10737418240,80,61,0,0
134217728,0.25,D,layer_order_learned,400000,1,80,10737418240,6200121257,91,87,0,0,12213813248,12213813248,76,125,0,0
134217728,0.25,D,layer_order_learned,400000,2,80,10737418240,6198480418,95,91,0,0,12750684160,12750684160,72,135,0,0
134217728,0.25,D,layer_order_learned,400000,3,80,10737418240,6393458125,95,91,0,0,12750684160,12750684160,78,114,0,0
134217728,0.25,D,layer_order_declared,400000,1,80,10737418240,5491530302,75,71,0,0,10066329600,10066329600,74,84,0,0
134217728,0.25,D,layer_order_declared,400000,2,80,10737418240,5291690847,75,71,0,0,10066329600,10066329600,75,73,0,0
134217728,0.25,D,layer_order_declared,400000,3,80,10737418240,5256084997,75,71,0,0,10066329600,10066329600,75,83,0,0
134217728,0.25,E,layer_order_learned,400000,1,80,10737418240,6105355469,72,116,0,48,16106127360,16106127360,41,189,9,0
134217728,0.25,E,layer_order_learned,400000,2,80,10737418240,6051257215,73,114,0,45,15837691904,15837691904,42,192,8,0
134217728,0.25,E,layer_order_learned,400000,3,80,10737418240,5868390289,69,107,0,42,14898167808,14898167808,42,179,6,0
134217728,0.25,E,layer_order_declared,400000,1,80,10737418240,5242006088,40,77,0,41,10871635968,10871635968,80,59,0,0
134217728,0.25,E,layer_order_declared,400000,2,80,10737418240,5115266515,40,77,0,41,10871635968,10871635968,78,51,0,0
134217728,0.25,E,layer_order_declared,400000,3,80,10737418240,5231414295,40,77,0,41,10871635968,10871635968,78,61,0,0
134217728,0.5,C,lru,0,1,80,10737418240,5032426471,80,72,0,0,10737418240,10737418240,80,124,0,0
134217728,0.5,C,lru,0,2,80,10737418240,4857007363,80,72,0,0,10737418240,10737418240,80,124,0,0
134217728,0.5,C,lru,0,3,80,10737418240,4864474227,80,72,0,0,10737418240,10737418240,80,103,0,0
134217728,0.5,D,layer_order_learned,0,1,80,10737418240,3520319372,57,49,0,0,7650410496,7650410496,56,108,0,0
134217728,0.5,D,layer_order_learned,0,2,80,10737418240,3561842838,57,49,0,0,7650410496,7650410496,56,108,0,0
134217728,0.5,D,layer_order_learned,0,3,80,10737418240,3624507091,57,49,0,0,7650410496,7650410496,56,107,0,0
134217728,0.5,D,layer_order_declared,0,1,80,10737418240,3395913613,55,47,0,0,7381975040,7381975040,54,102,0,0
134217728,0.5,D,layer_order_declared,0,2,80,10737418240,3430058950,55,47,0,0,7381975040,7381975040,54,81,0,0
134217728,0.5,D,layer_order_declared,0,3,80,10737418240,3467248758,55,47,0,0,7381975040,7381975040,55,75,0,0
134217728,0.5,E,layer_order_learned,0,1,80,10737418240,3926509676,46,72,0,34,10737418240,10737418240,53,94,0,0
134217728,0.5,E,layer_order_learned,0,2,80,10737418240,3838238303,46,72,0,34,10737418240,10737418240,54,86,0,0
