combo,chunk_size,ratio,compute,rep,touches,absent_handled,evictions,pager_bytes_fetched,io_read_bytes_delta,wall_ns,rc
allthreads_off,134217728,0.75,400000,3,80,32,20,4294967296,4294967296,2916733981,0
allthreads_on,8388608,0.25,0,1,1280,1024,960,8589934592,8589934592,4890835078,0
allthreads_on,8388608,0.25,0,2,1280,1024,960,8589934592,8589934592,4690624807,0
allthreads_on,8388608,0.25,0,3,1280,1024,960,8589934592,8589934592,5780231816,0
allthreads_on,8388608,0.25,400000,1,1280,1024,960,8589934592,8589934592,6489434351,0
allthreads_on,8388608,0.25,400000,2,1280,1024,960,8589934592,8589934592,6075881300,0
allthreads_on,8388608,0.25,400000,3,1280,1024,960,8589934592,8589934592,5358892695,0
allthreads_on,8388608,0.5,0,1,1280,768,640,6442450944,6442450944,3966465180,0
allthreads_on,8388608,0.5,0,2,1280,768,640,6442450944,6442450944,3663642471,0
allthreads_on,8388608,0.5,0,3,1280,768,640,6442450944,6442450944,3591150535,0
allthreads_on,8388608,0.5,400000,1,1280,768,640,6442450944,6442450944,4295334819,0
allthreads_on,8388608,0.5,400000,2,1280,768,640,6442450944,6442450944,4930632187,0
allthreads_on,8388608,0.5,400000,3,1280,768,640,6442450944,6442450944,4929553237,0
allthreads_on,8388608,0.75,0,1,1280,512,320,4294967296,4294967296,3004483141,0
allthreads_on,8388608,0.75,0,2,1280,512,320,4294967296,4294967296,2668143765,0
allthreads_on,8388608,0.75,0,3,1280,512,320,4294967296,4294967296,3437366648,0
allthreads_on,8388608,0.75,400000,1,1280,512,320,4294967296,4294967296,4509521536,0
allthreads_on,8388608,0.75,400000,2,1280,512,320,4294967296,4294967296,4128482551,0
allthreads_on,8388608,0.75,400000,3,1280,512,320,4294967296,4294967296,5436950529,0
allthreads_on,134217728,0.25,0,1,80,80,76,10737418240,10737418240,5063915957,0
allthreads_on,134217728,0.25,0,2,80,80,76,10737418240,10737418240,5087525163,0
allthreads_on,134217728,0.25,0,3,80,80,76,10737418240,10737418240,5058147566,0
allthreads_on,134217728,0.25,400000,1,80,80,76,10737418240,10737418240,6102607563,0
allthreads_on,134217728,0.25,400000,2,80,80,76,10737418240,10737418240,5771802173,0
allthreads_on,134217728,0.25,400000,3,80,80,76,10737418240,10737418240,5872121367,0
allthreads_on,134217728,0.5,0,1,80,56,48,7516192768,7516192768,3799198272,0
allthreads_on,134217728,0.5,0,2,80,56,48,7516192768,7516192768,3696303906,0
allthreads_on,134217728,0.5,0,3,80,56,48,7516192768,7516192768,3743036239,0
allthreads_on,134217728,0.5,400000,1,80,56,48,7516192768,7516192768,4695230417,0
allthreads_on,134217728,0.5,400000,2,80,56,48,7516192768,7516192768,4509920443,0
allthreads_on,134217728,0.5,400000,3,80,56,48,7516192768,7516192768,4435291298,0
allthreads_on,134217728,0.75,0,1,80,36,24,4831838208,4831838208,2663703832,0
allthreads_on,134217728,0.75,0,2,80,36,24,4831838208,4831838208,2946390455,0
allthreads_on,134217728,0.75,0,3,80,36,24,4831838208,4831838208,2407368755,0
allthreads_on,134217728,0.75,400000,1,80,36,24,4831838208,4831838208,3628758801,0
allthreads_on,134217728,0.75,400000,2,80,36,24,4831838208,4831838208,3395305516,0
allthreads_on,134217728,0.75,400000,3,80,36,24,4831838208,4831838208,3367041312,0
